fiscal_year,fiscal_quarter,revenue_usd,gross_profit_usd,gaap_operating_income_usd,gaap_net_income_usd,operating_cash_flow_usd,rpo_usd,deferred_rev_current_usd,deferred_rev_noncurrent_usd
FY2020,Q2,816700000,583600000,-52900000,-73700000,,3300000000,1757700000,1440800000
FY2020,Q3,869400000,611100000,-56500000,-74800000,,3500000000,1854600000,1516000000
FY2020,Q4,950400000,660000000,-17800000,-58900000,,4300000000,2049100000,1761100000
FY2021,Q1,946000000,668200000,-44500000,-92200000,534900000,4400000000,2137500000,1809300000
FY2021,Q2,1016900000,709300000,-88800000,-142300000,,4600000000,2289700000,1872700000
FY2021,Q3,1073900000,743300000,-110400000,-145100000,,4900000000,2421200000,1953800000
FY2021,Q4,,,,,,5900000000,2741900000,2282100000
FY2022,Q1,1247400000,866800000,-82700000,-103600000,588900000,6000000000,2801600000,2356600000
FY2022,Q2,1316900000,911600000,-73900000,-93500000,,6300000000,2958200000,2491000000
FY2022,Q3,1386700000,946200000,-47600000,-73200000,,6900000000,3152900000,2706500000
FY2022,Q4,,,,,,8200000000,3641200000,3352800000
FY2023,Q1,1563400000,1101500000,15200000,20000000,1236700000,8300000000,3741300000,3438300000
FY2023,Q2,1655100000,1188900000,39900000,84200000,,8800000000,3942500000,3611500000
FY2023,Q3,1720900000,1246100000,78700000,107800000,,9200000000,4146700000,3942900000
FY2023,Q4,,,,,,10600000000,4674600000,4621800000
FY2024,Q1,1878100000,1405300000,215200000,194200000,1526000000,10400000000,4732000000,4710800000
FY2024,Q2,1975100000,1476000000,53600000,1746900000,,10800000000,4918100000,4900300000
FY2024,Q3,1984800000,1471200000,176700000,278800000,,11300000000,5014900000,5152700000
FY2024,Q4,,,,,,12700000000,5541100000,5939400000
FY2025,Q1,2139000000,1585000000,286000000,351000000,1510000000,12600000000,5507700000,5585900000
FY2025,Q2,2257000000,1658000000,241000000,267000000,,13000000000,5599900000,5662500000
FY2025,Q3,2289000000,1670000000,219000000,262000000,,13500000000,5756800000,5816800000
FY2025,Q4,,,,,,15800000000,6302000000,6450000000
FY2026,Q1,2474000000,1836000000,309000000,334000000,1771000000,15500000000,6132000000,6098000000
FY2026,Q2,2594000000,1909000000,397000000,432000000,,16000000000,6248000000,6181000000
FY2026,Q3,3002000000,2028000000,-183000000,-177000000,,18400000000,7113000000,6492000000
